input_vis,input_category,model0,model1
https://raw.githubusercontent.com/omriav/public/master/amt_data/000/input_visualizations.jpg,giraffe,https://raw.githubusercontent.com/omriav/public/master/amt_data/000/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/000/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/001/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/001/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/001/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/002/input_visualizations.jpg,bear,https://raw.githubusercontent.com/omriav/public/master/amt_data/002/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/002/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/003/input_visualizations.jpg,horse,https://raw.githubusercontent.com/omriav/public/master/amt_data/003/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/003/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/004/input_visualizations.jpg,pew (church bench),https://raw.githubusercontent.com/omriav/public/master/amt_data/004/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/004/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/005/input_visualizations.jpg,refrigerator,https://raw.githubusercontent.com/omriav/public/master/amt_data/005/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/005/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/006/input_visualizations.jpg,bench,https://raw.githubusercontent.com/omriav/public/master/amt_data/006/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/006/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/007/input_visualizations.jpg,sheep,https://raw.githubusercontent.com/omriav/public/master/amt_data/007/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/007/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/008/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/008/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/008/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/009/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/009/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/009/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/010/input_visualizations.jpg,fireplug,https://raw.githubusercontent.com/omriav/public/master/amt_data/010/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/010/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/011/input_visualizations.jpg,sheep,https://raw.githubusercontent.com/omriav/public/master/amt_data/011/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/011/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/012/input_visualizations.jpg,bench,https://raw.githubusercontent.com/omriav/public/master/amt_data/012/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/012/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/013/input_visualizations.jpg,fire hydrant,https://raw.githubusercontent.com/omriav/public/master/amt_data/013/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/013/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/014/input_visualizations.jpg,zebra,https://raw.githubusercontent.com/omriav/public/master/amt_data/014/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/014/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/015/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/015/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/015/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/016/input_visualizations.jpg,pew (church bench),https://raw.githubusercontent.com/omriav/public/master/amt_data/016/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/016/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/017/input_visualizations.jpg,elephant,https://raw.githubusercontent.com/omriav/public/master/amt_data/017/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/017/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/018/input_visualizations.jpg,trailer truck,https://raw.githubusercontent.com/omriav/public/master/amt_data/018/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/018/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/019/input_visualizations.jpg,giraffe,https://raw.githubusercontent.com/omriav/public/master/amt_data/019/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/019/self_guidance.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/020/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/020/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/020/self_guidance.jpg
